Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1663986,98756,0
2,2,1646206,76173,0
2,3,1652154,78566,0
2,4,1654965,84923,0
2,5,1634056,74569,0
2,6,1648282,75042,0
2,7,1631924,75134,0
2,8,1634238,74293,0
2,9,1649378,84538,0
2,10,1632020,83705,0
2,Avg,1644720,80569,0

# Matrix size 4
4,1,1662387,106275,0
4,2,1640095,79530,0
4,3,1651737,91154,0
4,4,1651544,83154,0
4,5,1641578,72487,0
4,6,1653198,83278,0
4,7,1648417,75347,0
4,8,1631913,74316,0
4,9,1649379,78952,0
4,10,1654687,81001,0
4,Avg,1648493,82549,0

# Matrix size 8
8,1,1673071,81800,0
8,2,1653644,76082,0
8,3,1664031,74755,0
8,4,1651275,75542,0
8,5,1661293,83711,0
8,6,1651854,74440,0
8,7,1653770,75360,0
8,8,1668768,84521,0
8,9,1668574,72300,0
8,10,1664028,81435,0
8,Avg,1661030,77994,0

# Matrix size 16
16,1,1778013,83895,0
16,2,1762180,83103,0
16,3,1755238,74244,0
16,4,1767975,72932,0
16,5,1773459,80273,0
16,6,1763901,71555,0
16,7,1770081,81393,0
16,8,1759047,72117,0
16,9,1778325,82341,0
16,10,1778639,77915,0
16,Avg,1768685,77976,0

# Matrix size 32
32,1,2553759,75575,0
32,2,2563145,78001,0
32,3,2557862,75201,0
32,4,2574067,77422,0
32,5,2568747,84768,0
32,6,2549392,76204,0
32,7,2571020,83969,0
32,8,2571534,78190,0
32,9,2547004,74896,0
32,10,2551958,73802,0
32,Avg,2560848,77802,0

# Matrix size 64
64,1,8600402,146742,1
64,2,8592032,125050,1
64,3,8608372,154326,1
64,4,8604280,143179,1
64,5,8607633,144973,1
64,6,8584356,115533,1
64,7,8603537,147035,1
64,8,8598178,117580,1
64,9,8588269,115379,1
64,10,8589817,117631,1
64,Avg,8597687,132742,1.000

# Matrix size 128
128,1,55743952,2175355,15
128,2,55698073,2482119,12
128,3,55705166,2491737,10
128,4,55731590,2164380,11
128,5,55720306,2160947,10
128,6,55698839,2481486,10
128,7,55705133,2496311,10
128,8,55697931,2529221,10
128,9,55705720,2507078,10
128,10,55739628,2162709,11
128,Avg,55714633,2365134,10.900

# Matrix size 256
256,1,427797379,16969799,133
256,2,427600745,16935167,118
256,3,427382101,16911023,115
256,4,427616851,16890560,120
256,5,427386267,16902417,112
256,6,427629177,16961433,118
256,7,427377735,16923366,112
256,8,427606763,16901038,117
256,9,427384489,16926575,112
256,10,427547896,16874891,111
256,Avg,427532940,16919626,116.800

# Matrix size 512
512,1,3386693042,134676274,980
512,2,3384878849,134682576,975
512,3,3386568234,134648829,969
512,4,3384881557,134679776,966
512,5,3384885896,134678251,980
512,6,3384883724,134684668,1011
512,7,3384880787,134668483,964
512,8,3384882534,134682541,957
512,9,3386511690,134646380,965
512,10,3386748317,134675638,989
512,Avg,3385581463,134672341,975.600

# Matrix size 1024
1024,1,26977338981,1076321141,7781
1024,2,26991318908,1076101373,7777
1024,3,26991231008,1076310139,7779
1024,4,26991155511,1076085602,7778
1024,5,26977345550,1076308003,7763
1024,6,26991149730,1076098440,7735
1024,7,26991149870,1076190571,7744
1024,8,26977338168,1076315225,7784
1024,9,26977398374,1076311580,7735
1024,10,26991232233,1076180692,7758
1024,Avg,26985665833,1076222276,7763.400

# Matrix size 2048
2048,1,215558727222,8606621234,62096
2048,2,215446891923,8608362894,62061
2048,3,215463264683,8611217890,67683
2048,4,215479532124,8614949866,74235
2048,5,215602841572,8622753380,65692
2048,6,215467805957,8613012547,72097
2048,7,215458238511,8611804601,78030
2048,8,215616770730,8622586424,68345
2048,9,215649723724,8630305578,72380
2048,10,215672800110,8634116564,75977
2048,Avg,215541659655,8617573097,69859.600
